CNTY_CODE,PYNAME,prv,name
310100,Shanghai Shi,Shanghai,Shanghai
110100,Beijing Shi,Beijing,Beijing
500100,Chongqing Shi,Chongqing,Chongqing
120100,Tianjin Shi,Tianjin,Tianjin
440100,Guangzhou Shi,Guangdong,Guangzhou
440300,Shenzhen Shi,Guangdong,Shenzhen
510100,Chengdu Shi,Sichuan,Chengdu
320100,Nanjing Shi,Jiangsu,Nanjing
610100,Xi'an Shi,Shaanxi,Xi'an
330100,Hangzhou Shi,Zhejiang,Hangzhou
441900,Dongguan Shi,Guangdong,Dongguan
440600,Foshan Shi,Guangdong,Foshan
210100,Shenyang Shi,Liaoning,Shenyang
230100,Harbin Shi,Heilongjiang,Harbin
370200,Qingdao Shi,Shandong,Qingdao
210200,Dalian Shi,Liaoning,Dalian
370100,Jinan Shi,Shandong,Jinan
410100,Zhengzhou Shi,Henan,Zhengzhou
430100,Changsha Shi,Hunan,Changsha
530100,Kunming Shi,Yunnan,Kunming
